epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0982,1.84682,0.49762,0.5298,0.00206,0.23385,0.00566,0.00096,1.67862,0.43109,0.29037,0.0669523,3.30808e-05,3.30808e-05
2,129.679,1.16274,0.58489,0.19742,0.05003,0.11692,0.01685,0.00275,1.28726,0.52379,0.18122,0.0336516,6.57507e-05,6.57507e-05
3,195.708,0.96578,0.66561,0.15149,0.25849,0.36923,0.23248,0.0516,0.8478,0.74396,0.11148,0.00035028,9.77545e-05,9.77545e-05
4,261.863,0.80454,0.76259,0.12272,0.28664,0.42902,0.28677,0.09102,0.73806,0.81657,0.09412,9.7003e-05,9.7003e-05,9.7003e-05
5,328.237,0.71707,0.82183,0.10611,0.25462,0.42769,0.27378,0.10341,0.66616,0.91341,0.07661,9.6004e-05,9.6004e-05,9.6004e-05
6,393.6,0.70405,0.81915,0.09803,0.30409,0.51077,0.33594,0.11368,0.66806,0.89106,0.07486,9.5005e-05,9.5005e-05,9.5005e-05
7,459.631,0.68165,0.83866,0.09147,0.47751,0.54769,0.46589,0.18896,0.63035,0.83252,0.07066,9.4006e-05,9.4006e-05,9.4006e-05
8,525.886,0.75314,0.69121,0.10453,0.64021,0.58584,0.58615,0.23121,0.69085,0.7067,0.08026,9.3007e-05,9.3007e-05,9.3007e-05
9,592.007,0.76365,0.63492,0.10542,0.65869,0.55077,0.58147,0.20567,0.70333,0.66708,0.08794,9.2008e-05,9.2008e-05,9.2008e-05
10,657.185,0.75305,0.62626,0.09856,0.67283,0.57582,0.61056,0.2187,0.74651,0.60809,0.08762,9.1009e-05,9.1009e-05,9.1009e-05
11,723.128,0.75767,0.6222,0.0986,0.65853,0.57231,0.61849,0.23514,0.68487,0.66243,0.08134,9.001e-05,9.001e-05,9.001e-05
12,789.039,0.75671,0.60018,0.09979,0.74104,0.59385,0.64664,0.22495,0.74182,0.60747,0.08842,8.9011e-05,8.9011e-05,8.9011e-05
13,854.887,0.76854,0.5738,0.09999,0.7303,0.60923,0.67771,0.25838,0.71729,0.58582,0.08553,8.8012e-05,8.8012e-05,8.8012e-05
14,920.915,0.74588,0.59169,0.10006,0.74964,0.61846,0.69646,0.26087,0.6548,0.67057,0.07418,8.7013e-05,8.7013e-05,8.7013e-05
15,986.785,0.75273,0.57008,0.10094,0.71994,0.64308,0.6858,0.25017,0.67577,0.64538,0.07871,8.6014e-05,8.6014e-05,8.6014e-05
16,1051.96,0.74387,0.57078,0.09878,0.73971,0.66154,0.7159,0.27201,0.68951,0.58968,0.07955,8.5015e-05,8.5015e-05,8.5015e-05
17,1117.66,0.73702,0.56305,0.09617,0.70827,0.60615,0.65369,0.23198,0.69131,0.63349,0.08088,8.4016e-05,8.4016e-05,8.4016e-05
18,1183.03,0.72209,0.57933,0.09177,0.75391,0.66928,0.72681,0.2795,0.70448,0.55783,0.08218,8.3017e-05,8.3017e-05,8.3017e-05
19,1249.16,0.7271,0.55532,0.09504,0.71541,0.63385,0.71134,0.271,0.70299,0.58633,0.08243,8.2018e-05,8.2018e-05,8.2018e-05
20,1314.63,0.74781,0.5487,0.10273,0.67539,0.62769,0.65354,0.24004,0.71774,0.59883,0.0834,8.1019e-05,8.1019e-05,8.1019e-05
21,1379.91,0.72788,0.55373,0.09276,0.76214,0.66769,0.72691,0.27385,0.70345,0.57018,0.08093,8.002e-05,8.002e-05,8.002e-05
22,1446.02,0.73125,0.55457,0.09593,0.73901,0.63077,0.66587,0.23359,0.73907,0.55251,0.0869,7.9021e-05,7.9021e-05,7.9021e-05
23,1511.1,0.7263,0.55438,0.09173,0.70476,0.66838,0.72686,0.27162,0.70943,0.55346,0.08278,7.8022e-05,7.8022e-05,7.8022e-05
24,1576.37,0.73308,0.52844,0.09274,0.74438,0.69889,0.74643,0.29775,0.68994,0.55134,0.07579,7.7023e-05,7.7023e-05,7.7023e-05
25,1642.51,0.72102,0.5463,0.08956,0.7121,0.65452,0.69398,0.23707,0.73436,0.56215,0.08834,7.6024e-05,7.6024e-05,7.6024e-05
26,1708.04,0.71638,0.53452,0.09113,0.75927,0.72787,0.75635,0.29118,0.69849,0.54027,0.07748,7.5025e-05,7.5025e-05,7.5025e-05
